gene	B cell	BEST4+ enterocyte	CD4-positive, alpha-beta T cell	CD8-positive, alpha-beta T cell	activated CD4-positive, alpha-beta T cell	activated CD8-positive, alpha-beta T cell	endothelial cell of arteriole	endothelial cell of lymphatic vessel	endothelial cell of venule	enterocyte of epithelium proper of duodenum	enterocyte of epithelium proper of ileum	enterocyte of epithelium proper of jejunum	enterocyte of epithelium proper of small intestine	enteroendocrine cell of small intestine	enteroglial cell	fibroblast	gamma-delta T cell	innate lymphoid cell	intestinal crypt stem cell of small intestine	intestinal tuft cell	macrophage	mast cell	monocyte	myeloid dendritic cell	myofibroblast cell	naive thymus-derived CD4-positive, alpha-beta T cell	natural killer cell	neutrophil	paneth cell of epithelium of small intestine	pericyte	plasma cell	regulatory T cell	small intestine goblet cell	transit amplifying cell of small intestine
ENSG00000248015	0.0000	0.0031	0.0017	0.0009	0.0021	0.0000	0.0000	0.0000	0.0000	0.0011	0.0019	0.0000	0.0000	0.0045	0.0000	0.0000	0.0000	0.0000	0.0015	0.0000	0.0067	0.0000	0.0000	0.0000	0.0174	0.0000	0.0000	0.0298	0.0007	0.0000	0.0055	0.0000	0.0034	0.0000
FAM13A-AS1	0.0668	0.1000	0.0465	0.0651	0.0713	0.1004	0.0308	0.0472	0.2193	0.0573	0.0716	0.0921	0.0195	0.0409	0.0349	0.0572	0.0726	0.1178	0.0314	0.1342	0.0835	0.1231	0.1429	0.0716	0.0670	0.0079	0.0587	0.0757	0.0264	0.1492	0.0330	0.0000	0.0781	0.0000
ARHGAP42-AS1	0.0000	0.0029	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0124	0.0029	0.0063	0.0083	0.0034	0.0000	0.0010	0.0000	0.0000	0.0043	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0047	0.0000	0.0019	0.0000	0.0041	0.0000
ENSG00000248029	0.0000	0.0008	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UBA6-DT	0.0547	0.0587	0.0393	0.0505	0.0906	0.0735	0.1152	0.2970	0.1021	0.0637	0.0482	0.0420	0.0325	0.2035	0.4627	0.1628	0.0422	0.1857	0.0780	0.2442	0.0419	0.0520	0.0101	0.0000	0.2018	0.0234	0.0623	0.0751	0.0387	0.1341	0.2641	0.0832	0.1035	0.0493
SYBU-AS1	0.0057	0.0038	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0016	0.0012	0.0077	0.0048	0.0000	0.0000	0.0000	0.0000	0.0030	0.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0067	0.0000	0.0000	0.0000	0.0026	0.0000
DPH6-DT	0.0054	0.0378	0.0048	0.0075	0.0127	0.0030	0.2769	0.2062	0.1793	0.0556	0.0455	0.0556	0.0576	0.0532	0.1111	0.0801	0.0000	0.0000	0.0393	0.0470	0.0361	0.0219	0.0000	0.0000	0.0090	0.0210	0.0261	0.0346	0.0084	0.0000	0.0294	0.0000	0.0400	0.1043
NNT-AS1	0.0721	0.1043	0.0551	0.0619	0.1159	0.1275	0.1469	0.3267	0.3625	0.0833	0.0531	0.1510	0.0722	0.1520	0.2604	0.2098	0.0504	0.0440	0.1808	0.1415	0.0426	0.0800	0.1037	0.0000	0.2585	0.0435	0.1111	0.0000	0.1406	0.1175	0.0753	0.2078	0.0653	0.0821
BCKDHA	0.0046	0.0034	0.0152	0.0099	0.0062	0.0129	0.0018	0.0578	0.0092	0.0027	0.0033	0.0075	0.0071	0.0070	0.0214	0.0093	0.0061	0.0000	0.0025	0.0204	0.0073	0.0097	0.0219	0.0000	0.0100	0.0150	0.0192	0.0000	0.0038	0.0000	0.0060	0.0000	0.0096	0.0000
INSL3	0.0000	0.0000	0.0040	0.0016	0.0085	0.0017	0.0000	0.0000	0.0000	0.0018	0.0007	0.0000	0.0074	0.0002	0.0000	0.0000	0.0000	0.0000	0.0034	0.0028	0.0000	0.0050	0.0060	0.0000	0.0000	0.0000	0.0000	0.0000	0.0031	0.0000	0.0038	0.0685	0.0066	0.0000
ENSG00000248100	0.0000	0.0017	0.0002	0.0004	0.0000	0.0000	0.0261	0.0000	0.0209	0.0008	0.0002	0.0000	0.0043	0.0016	0.0000	0.0000	0.0000	0.0000	0.0042	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0133	0.0007	0.0000	0.0000	0.0000	0.0007	0.0000
ENSG00000248101	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TARS2P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248105	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000
ENSG00000248106	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02039	0.0000	0.0003	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0023	0.0056	0.0000	0.0015	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0102	0.0000	0.0000	0.0006	0.0000	0.0002	0.0000	0.0003	0.0000
MARCOL	0.0000	0.0000	0.0005	0.0007	0.0022	0.0000	0.0000	0.0000	0.0000	0.0011	0.0004	0.0000	0.0006	0.0006	0.0058	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0003	0.0000	0.0026	0.0000
ENSG00000248112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
PTPN11P5	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0035	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248114	0.0000	0.0017	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0113	0.0062	0.0049	0.0038	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0000	0.0000	0.0015	0.0000
ENSG00000248115	0.0000	0.0008	0.0022	0.0043	0.0119	0.0081	0.0063	0.0170	0.0000	0.0008	0.0013	0.0000	0.0006	0.0000	0.0000	0.0031	0.0000	0.0667	0.0003	0.0000	0.0025	0.0052	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0092	0.0000	0.0030	0.0000
MICOS10P4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000
LINC01019	0.0037	0.0000	0.0003	0.0021	0.0000	0.0037	0.0000	0.0000	0.0000	0.0040	0.0016	0.0000	0.0020	0.0030	0.0000	0.0000	0.0000	0.0000	0.0005	0.0018	0.0087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0035	0.0000	0.0109	0.0000
ENSG00000248120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SMURF2P1	0.0000	0.0025	0.0004	0.0003	0.0000	0.0023	0.0000	0.0000	0.0000	0.0024	0.0017	0.0000	0.0026	0.0034	0.0073	0.0004	0.0048	0.0000	0.0007	0.0017	0.0000	0.0000	0.0000	0.0000	0.0027	0.0000	0.0080	0.0000	0.0003	0.0000	0.0004	0.0000	0.0030	0.0000
APOOP4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0002	0.0000	0.0000	0.0007	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0005	0.0000
RRN3P1	0.3130	0.2185	0.7301	0.9020	0.6246	0.9488	0.2630	0.0281	0.5598	0.0978	0.0720	0.1662	0.1036	0.1047	0.1469	0.2443	0.3221	0.1271	0.1684	0.1731	0.3324	0.4134	0.2220	0.0000	0.1652	1.4028	0.5469	0.2043	0.0891	0.2074	0.0681	0.8385	0.1283	0.1196
ENSG00000248125	0.0000	0.0038	0.0000	0.0002	0.0000	0.0014	0.0000	0.0000	0.0000	0.0038	0.0157	0.0098	0.0041	0.0032	0.0098	0.0028	0.0000	0.0000	0.0050	0.0000	0.0000	0.0420	0.0000	0.0000	0.0552	0.0000	0.0000	0.0000	0.0038	0.0000	0.0008	0.0000	0.0048	0.0119
ENSG00000248126	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
SV2C-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000
ENSG00000248128	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC01194	0.0036	0.0036	0.0004	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0040	0.0004	0.0000	0.0028	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0045	0.0001	0.0000	0.0102	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0007	0.0000	0.0047	0.0000
LINC02101	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0316	0.0003	0.0004	0.0000	0.0017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0011	0.0000
MTND4LP22	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MTND6P8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0019	0.0011	0.0031	0.0019	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0000	0.0018	0.0000
ENSG00000248137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248138	0.0135	0.0000	0.0008	0.0015	0.0000	0.0000	0.0175	0.1119	0.0205	0.0018	0.0016	0.0000	0.0098	0.0177	0.0000	0.0030	0.0000	0.0000	0.0032	0.0000	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0073	0.0000	0.0030	0.0153
CUL4AP1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0142	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02383	0.0000	0.0015	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ADH1C	0.0018	1.0369	0.0006	0.0022	0.0015	0.0043	0.0000	0.0000	0.0000	0.3470	0.0921	0.8451	0.8488	0.1186	0.0055	0.0467	0.0041	0.0000	3.9570	0.2176	0.0000	0.0245	0.0000	0.0000	0.0000	0.0098	0.0182	0.0482	4.8762	0.0000	0.0020	0.0000	0.0455	0.7062
ENSG00000248145	0.0000	0.0000	0.0009	0.0000	0.0000	0.0021	0.0000	0.0000	0.0000	0.0116	0.0000	0.0219	0.0048	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0007	0.0000	0.0000	0.0000
ENSG00000248148	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.0002	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0014	0.0000	0.0047	0.0000
LINC02150	0.0029	0.0127	0.0016	0.0043	0.0019	0.0037	0.0239	0.0000	0.0000	0.0068	0.0057	0.0000	0.0062	0.0073	0.0000	0.0050	0.0000	0.0000	0.0021	0.0055	0.0054	0.0119	0.0094	0.0000	0.0000	0.0000	0.0000	0.0310	0.0059	0.0000	0.0114	0.0000	0.0407	0.0000
ANK2-AS1	0.0089	0.0000	0.0000	0.0014	0.0110	0.0043	0.0134	0.0000	0.0000	0.0028	0.0013	0.0000	0.0034	0.0350	0.3710	0.0319	0.0000	0.0000	0.0057	0.0023	0.0037	0.0000	0.0000	0.0000	0.1873	0.0000	0.0000	0.0474	0.0004	0.0000	0.0006	0.0000	0.0023	0.0000
ENSG00000248155	0.0021	0.0020	0.0005	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0006	0.0015	0.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0050	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0013	0.0000
BTG4P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
HSPA8P11	0.0000	0.0005	0.0000	0.0005	0.0001	0.0000	0.0000	0.0064	0.0000	0.0003	0.0006	0.0081	0.0001	0.0000	0.0002	0.0000	0.0000	0.0358	0.0000	0.0041	0.0000	0.0083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0001	0.0000	0.0014	0.0000
ENSG00000248160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248161	0.0031	0.0008	0.0048	0.0052	0.0207	0.0068	0.0131	0.0469	0.0229	0.0016	0.0017	0.0000	0.0020	0.0000	0.0263	0.0491	0.0105	0.0000	0.0041	0.0027	0.0000	0.0200	0.0000	0.0000	0.0731	0.0000	0.0000	0.0258	0.0070	0.1341	0.0077	0.0000	0.0110	0.0000
CHORDC1P3	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248165	0.0552	0.0079	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0037	0.0032	0.0000	0.0000	0.0515	0.0000	0.0000	0.0000	0.0000	0.0045	0.0291	0.0000	0.0223	0.0000	0.0000	0.0078	0.0000	0.0139	0.0000	0.0012	0.0000	0.0159	0.0000	0.0406	0.0000
TRIM39-RPP21	0.0000	0.0012	0.0000	0.0003	0.0015	0.0000	0.0000	0.0000	0.0000	0.0009	0.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0022	0.0000	0.0017	0.0000
ENSG00000248170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248172	0.0000	0.0011	0.0001	0.0027	0.0000	0.0014	0.0000	0.0000	0.0000	0.0009	0.0003	0.0000	0.0018	0.0025	0.0000	0.0000	0.0000	0.0000	0.0000	0.0096	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000
LINC02268	0.0010	0.0020	0.0025	0.0036	0.0000	0.0008	0.0160	0.0060	0.0000	0.0046	0.0007	0.0000	0.0026	0.0113	0.3868	0.0161	0.0000	0.0000	0.0006	0.0119	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	0.0157	0.0020	0.0000	0.0031	0.0000	0.0063	0.0000
ENSG00000248176	0.0000	0.0005	0.0000	0.0003	0.0000	0.0031	0.0000	0.0000	0.0000	0.0015	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025	0.0000	0.0000	0.0171	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0036	0.0000	0.0006	0.0000
GAPDHP60	0.0000	0.0000	0.0000	0.0001	0.0002	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0068	0.0002	0.0000	0.0000	0.0000	0.0000	0.0089	0.0000	0.0002	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0002	0.0002	0.0005	0.0000	0.0001	0.0000
LINC02283	0.0000	0.0007	0.0000	0.0008	0.0000	0.0007	0.0000	0.0000	0.0000	0.0013	0.0000	0.0000	0.0000	0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0007	0.0000
ENSG00000248185	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0001	0.0012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0002	0.0004	0.0000	0.0017	0.0000	0.0000	0.0155	0.0000	0.0000	0.0000	0.0092	0.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000
PFDN1P2	0.0000	0.0019	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0039	0.0017	0.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
PES1P1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ATG10-AS1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0016	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000
ENSG00000248195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248196	0.0000	0.0000	0.0000	0.0000	0.0019	0.0000	0.0000	0.0000	0.0000	0.0006	0.0014	0.0065	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0002	0.0000	0.0003	0.0000
LINC00290	0.0020	0.0003	0.0003	0.0030	0.0012	0.0030	0.0000	0.0000	0.0000	0.0018	0.0009	0.0000	0.0000	0.0064	0.0000	0.0046	0.0000	0.0000	0.0000	0.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0018	0.0000
ENSG00000248199	0.0000	0.0016	0.0000	0.0000	0.0000	0.0019	0.0000	0.0323	0.0000	0.0015	0.0003	0.0000	0.0003	0.0000	0.0000	0.0000	0.0102	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000
ENSG00000248200	0.0000	0.0077	0.0081	0.0061	0.0134	0.0137	0.0000	0.0000	0.0000	0.0022	0.0020	0.0000	0.0018	0.0036	0.0109	0.0021	0.0313	0.0164	0.0000	0.0138	0.0019	0.0073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0013	0.1607	0.0009	0.0000	0.0026	0.0000
ENSG00000248203	0.0000	0.0000	0.0004	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0013	0.0000	0.0047	0.0036	0.0000	0.0000	0.0000	0.0000	0.0014	0.0000	0.0009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0021	0.0000
H3P17	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000248206	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0067	0.0000	0.0001	0.0000	0.0026	0.0013	0.0043	0.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0002	0.0000
WDR45P1	0.0000	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0005	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0002	0.0000	0.0001	0.0000
ENSG00000248209	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0008	0.0000
LINC02355	0.0062	0.0083	0.0014	0.0057	0.0037	0.0022	0.0000	0.0119	0.0000	0.0047	0.0012	0.0000	0.0004	0.0057	0.0065	0.0072	0.0112	0.0000	0.0004	0.0095	0.0103	0.0000	0.0000	0.0000	0.0081	0.0000	0.0102	0.0000	0.0006	0.0000	0.0000	0.0000	0.0015	0.0000
TRPC7-AS1	0.0013	0.1400	0.0000	0.0009	0.0026	0.0070	0.0000	0.0000	0.0000	0.0661	0.0522	0.1672	0.0293	0.0761	0.0000	0.0000	0.0000	0.0000	0.0667	0.0050	0.0092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0598	0.0000	0.0014	0.0000	0.0115	0.0969
